OBJECTID,CODIGO,NOMBRE,SUBTIPO_BARRIOVEREDA,SHAPEAREA,SHAPELEN
661,1422,La Aguacatala,1,622090.15610524,3302.65805243148
662,0810,El Pinal,1,413416.804617475,3271.57455337274
663,0719,Fuente Clara,1,236441.173402975,3022.3376578443
664,0102,Santo Domingo Savio No.2,1,264750.45245083,2943.70765447313
665,0302,Las Granjas,1,641349.2750235,3964.70230586524
666,0902,Barrios de Jesús,1,442235.667275605,3754.62415027398
667,Inst_16,La Alpujarra,1,316458.787375535,2524.19319322781
668,1008,Corazón de Jesús,1,330239.70268336,2394.20528069805
669,0907,Buenos Aires,1,293164.43067628,2357.96347375624
670,0501,Toscana,1,290053.95460347,2574.00441672397
671,1203,Los Pinos,1,232997.55143503,2018.89652160067
672,0911,Gerona,1,249124.845537955,2258.09493956143
676,1609,La Hondonada,1,462119.349110795,4476.37503184725
677,0806,Llanaditas,1,320557.553129565,3611.3385873535
680,0913,Loreto,1,666996.621529295,3816.17527246949
681,0609,Picachito,1,123730.748112665,1958.49329883703
673,1212,Santa Teresita,1,317659.17366041,3340.72866198805
674,0513,Francisco Antonio Zea,1,233064.848602055,2257.01084072964
675,1608,La Mota,1,508240.32532292,4351.66542823011
678,1315,Nuevos Conquistadores,1,224237.3460931,2539.39549264383
679,1204,La América,1,358441.04256529,3311.66048133769
682,0415,Miranda,1,230378.299048405,2359.93972587716
683,Inst_14,U.D. Atanasio Girardot,1,417796.53938985,3340.18329380559
684,1421,Patio Bonito,1,729056.06802979,4102.13288376399
689,1413,El Diamante No.2,1,661034.27470397,3742.29051901543
690,1618,Nueva Villa del Aburrá,1,188599.469565485,2250.67137799902
691,0207,Villa del Socorro,1,229628.060828555,2550.4182465483
692,0811,Trece de Noviembre,1,173902.23243186,2474.87103662388
693,0602,Doce de Octubre No.1,1,436282.50898358,3074.30978536993
694,1611,La Loma de Los Bernal,1,485033.68102197,3986.65426127821
695,0901,Juan Pablo II,1,75047.226330735,2018.31809772801
696,0715,Villa Flora,1,250779.10248598,2151.65053952776
697,1502,Tenche,1,230563.654434145,2099.15007469117
685,0308,Manrique Oriental,1,373291.55937477,3004.09624898983
686,0110,La Esperanza No.2,1,67338.260559075,1299.67413853463
687,0604,Pedregal,1,581057.1775886,3625.44198345973
688,1001,Prado,1,624440.241931445,3461.06895644644
723,0413,Aranjuez,1,361138.51094988,2557.0834504281
724,0307,Manrique Central No.2,1,240903.4686109,2619.45817811677
725,0814,San Antonio,1,152122.80562556,2969.3414172851
726,1610,El Rincón,1,662338.313780955,5063.38628055667
727,SN01,Sin Nombre,1,526126.526212035,13331.5978186361
728,1202,Calasanz,1,313244.286542315,2335.37641008994
729,0404,Bermejal-Los Álamos,1,159810.329342175,1944.02608104331
730,1003,Jesús Nazareno,1,305187.55921968,2627.60113400574
731,0917,Ocho de Marzo,1,58069.27346124,1527.65307522304
698,1601,Fátima,1,434653.69539652,2687.45721781377
699,Inst_2,Oleoducto,1,288176.60522474,2502.94822972626
700,0505,Boyacá,1,256398.89420215,2595.9714664027
701,0109,Aldea Pablo VI,1,71663.800670335,1581.16527611615
702,0801,Villa Hermosa,1,393468.101207,3286.30375620349
703,1406,Las Lomas No.1,1,486145.04934742,2988.93435613069
704,0210,Santa Cruz,1,237218.394658615,2134.29599373509
705,1312,Betania,1,349073.87159039,4352.11863271419
706,0607,Kennedy,1,490943.04993177,2976.03922019992
707,1504,Santa Fé,1,1025085.01768489,5658.88285222672
708,Inst_4,Terminal de Transporte,1,215849.362104375,2005.72134286406
709,Inst_5,Facultad de Minas,1,243885.301847115,2781.04581556016
710,0211,La Rosa,1,166181.41510357,2328.01350025547
711,1409,El Tesoro,1,1174852.07926077,5857.97106615629
712,0724,Monteclaro,1,429504.630484525,3476.86168394413
713,0802,La Mansión,1,246603.62863866,2202.13986579537
641,Inst_15,U.P.B,1,216528.298225885,1872.14966332678
642,Inst_18,Cerro Nutibara,1,399181.972171245,2840.35776951548
643,0610,Mirador del Doce,1,64825.7526395,1336.38239227994
644,1620,El Nogal-Los Almendros,1,248378.348640765,3072.15037786009
645,0612,El Triunfo,1,117075.026323775,1730.04422781281
646,0808,Enciso,1,335273.348876105,3355.66300305241
647,0605,La Esperanza,1,405382.73022165,2711.23314688593
648,0815,Las Estancias,1,302012.14053153,5064.09455441831
649,0203,Pablo VI,1,77739.38690625,1406.03301032162
650,Inst_7,Ecoparque Cerro El Volador,1,911215.960972345,5306.91915442229
651,0309,Versalles No.1,1,369634.341225225,2828.15712608758
652,1408,Altos del Poblado,1,910950.66003901,5263.59682377872
653,Inst_8,Universidad Nacional,1,482979.351932975,2865.18412666299
654,0711,El Diamante,1,375485.78284926,2711.42739527907
655,0716,Palenque,1,382414.167556665,4154.9515083829
656,1401,Barrio Colombia,1,401681.05832273,2849.66494087964
657,1602,Rosales,1,605072.402433695,3271.90816344316
658,5003,Urquitá,2,5549356.60023795,16593.6739083859
659,5008,Potrera Miserenga,2,5267379.37227903,12915.0393920984
660,1507,Campo Amor,1,1037057.61263915,4274.8227225337
714,1417,La Florida,1,767666.054557015,4065.2356458749
715,1607,Diego Echavarría,1,317832.53461885,2937.72653821203
716,1304,Los Alcázares,1,272545.859055815,2938.85385249044
717,0410,Campo Valdés No.1,1,372180.945070915,2667.32320269488
718,0514,Alfonso López,1,354326.109368625,3119.20889064258
719,0722,Olaya Herrera,1,421512.90969721,4299.26275914451
720,Inst_6,Facultad Veterinaria y Zootecnia U.de.A.,1,110127.882017915,1754.76239036126
721,1420,Astorga,1,222216.42242836,2005.48208157053
722,0517,Caribe,1,601382.35926711,3499.27909005388
750,1313,El Corazón,1,203072.385480205,3266.43803869284
751,1011,Calle Nueva,1,229172.17681194,2297.58031244386
752,0204,La Frontera,1,162576.93917409,1843.46846476465
753,0504,Tejelo,1,423037.30812235,3434.80193725032
754,1111,Lorena,1,410861.402649785,3340.51721288361
755,0205,La Francia,1,341808.6986469,2982.29374719609
756,Inst_1,Plaza de Ferias,1,339279.59712522,2625.52464248744
757,0908,Miraflores,1,291109.28555398,2496.70662959352
758,1017,Los Ángeles,1,237106.228861835,2424.55623535478
759,1416,Alejandría,1,432152.307971235,2774.70623075445
760,1305,Metropolitano,1,106982.478582215,1586.91843269369
761,1115,Cuarta Brigada,1,272442.063616065,2458.80359294174
762,1109,Las Acacias,1,341239.058165215,2663.55430935274
763,1410,Los Naranjos,1,965370.623005105,5219.60835291891
764,0713,Aures No.1,1,761954.44918122,4268.56509395033
765,0909,Cataluña,1,472280.019417555,4580.49993732162
766,SN02,Sin Nombre,2,132771.38452177,7603.02167161419
767,0112,Carpinelo,1,361946.638168805,2952.32480721473
768,0206,Andalucía,1,228212.81915298,2407.19552277179
769,1110,La Castellana,1,696662.79523444,4395.65802099898
770,0405,Moravia,1,482535.265050525,3857.84529495105
771,1006,San Benito,1,493350.648462135,3294.46918150266
772,1101,Carlos E. Restrepo,1,449895.1760308,3377.95860180185
773,0717,Robledo,1,446970.267277795,4188.48818686097
774,1307,Juan XXIII La Quiebra,1,224937.292015955,2893.35136500871
732,1311,Belencito,1,368036.679090055,3321.47264358488
733,1621,Cerro Nutibara,1,135109.137336775,1995.57776528112
734,1211,Simón Bolívar,1,291448.410718815,2391.52757498716
735,0718,Cucaracho,1,625660.15702287,5068.1341899553
736,Inst_11,Universidad de Antioquia,1,312368.607759965,2254.62255698184
737,1308,San Javier No.2,1,151082.916161355,1766.86253815486
738,0414,Brasilia,1,327324.575347325,2680.65323665492
739,1107,Bolivariana,1,320999.88088899,2798.35354417852
740,0401,Berlín,1,300195.10574933,2339.55057042667
741,1112,El Velódromo,1,367628.559355705,2969.37985209509
742,1209,Santa Mónica,1,355860.076319765,2837.76035558101
743,1603,Belén,1,534932.70886064,4322.91667537154
744,0306,El Pomar,1,157934.95587486,1978.95421654792
745,0312,Oriente,1,412250.12690138,3219.20618019391
746,0201,La Isla,1,213093.710767695,3167.12121244825
747,0817,La Sierra,1,212262.654642775,2442.3567871022
748,0313,María Cano-Carambolas,1,352919.44954853,2993.58195899168
749,0706,La Pilarica,1,304179.22013851,3153.709481357
818,Inst_20,El Rodeo,1,741103.366202635,3786.22278843287
819,0910,La Milagrosa,1,199687.90552677,2240.61072721915
820,1414,El Castillo,1,722753.889621535,3760.55063914483
821,0314,San José La Cima No.1,1,155475.9634813,2157.93851076434
822,0305,El Raizal,1,297960.739602475,2917.42404293925
823,0106,Villa Guadalupe,1,238610.2349136,2488.5107887792
824,1418,El Poblado,1,261432.505314425,2739.44409929485
825,1503,Trinidad,1,679707.51400858,4372.67308097814
775,1310,Veinte de Julio,1,381831.585151545,3851.27395595136
776,0708,Altamira,1,367264.83258129,2884.43009288182
777,Inst_12,Hospital San Vicente de Paúl,1,86561.760806495,1228.68690290803
778,1407,Las Lomas No.2,1,335753.46668247,2760.71212871913
779,0510,Tricentenario,1,420638.29528584,2897.30576139125
780,0208,Villa Niza,1,143215.46467293,1697.30402715706
781,1108,Laureles,1,707014.331364375,3847.11163812493
782,1303,Santa Rosa de Lima,1,139971.033117545,2158.95467157008
783,1206,Santa Lucía,1,275913.74884088,3048.70366313463
784,1205,La Floresta,1,422571.88811336,2734.22364748133
785,1617,Las Mercedes,1,376395.734635055,3346.63210253967
786,1016,Boston,1,535705.975924235,3120.28142883021
787,0725,Nueva Villa de La Iguaná,1,65026.71846924,1838.74040598444
788,0905,Alejandro Echavarría,1,365417.87761532,3884.16549755101
789,0608,Picacho,1,416246.96250736,3816.88465486201
790,0105,Moscú No.2,1,282168.260220565,2420.45293836711
791,0101,Santo Domingo Savio No.1,1,561247.65978179,3596.70058382423
792,1207,El Danubio,1,212062.27811854,2331.79965149965
793,0111,La Avanzada,1,276605.816234615,2891.12776769512
794,1012,Perpetuo Socorro,1,640206.10762827,3711.63974171335
795,1412,San Lucas,1,1228345.7995688,5107.8572187613
796,9002,Media Luna,2,9444545.36651997,17115.6719691413
797,9004,Barro Blanco,2,3117983.04922358,9731.52443594643
798,9010,Piedra Gorda,2,3016088.7158133,9814.23303160983
799,7004,San Pablo,2,3249006.02081013,11437.6496026608
800,1213,Calasanz Parte Alta,1,414262.3181696,4129.80006754114
801,7002,Aguas Frías,2,3359884.05708032,8114.8360899151
802,0202,Playón de Los Comuneros,1,205378.68668122,3535.91710058744
803,1004,El Chagualo,1,366479.13024943,2514.65862125504
804,1509,Cristo Rey,1,759522.00286878,4174.39485363806
805,1105,Los Conquistadores,1,683261.011765335,3824.54051593411
806,0916,Asomadera No.3,1,170929.83563599,2396.47579756125
807,1612,La Gloria,1,611237.912314105,3863.29600923481
808,1301,El Pesebre,1,221779.33430866,3519.77123540619
809,1405,Lalinde,1,230059.428806635,2274.20951534179
810,0409,Manrique Central No.1,1,355580.323298175,2690.8261234079
811,1314,Las Independencias,1,254173.180083085,2308.34643377979
812,Inst_19,Parque Juan Pablo II,1,1390663.21906791,6686.46471735514
813,0209,Moscú No.1,1,190820.94920967,2237.22975912052
814,0707,Bosques de San Pablo,1,263146.98567497,2952.10562467034
815,0807,Los Mangos,1,467256.772299905,3385.08455918116
816,0904,Los Cerros El Vergel,1,316939.8965916,2764.17985528389
817,1619,Miravalle,1,164413.641328895,1867.03540017869
840,8006,El Salado,2,7326514.18429035,17683.3229965647
841,9001,Las Palmas,2,15898101.2827413,29078.0609718075
842,7001,Buga Patio Bonito,2,4146229.04809505,8293.53481891618
843,7006,La Esperanza,2,2040757.48214582,7248.60550138493
845,9009,El Plan,2,6175488.81472347,12556.6817368761
846,7008,El Jardín,2,2907807.72020147,8351.72603947121
847,9008,El Llano SE,2,2117976.88220976,6609.423524612
848,8007,La Verde,2,6694637.85614658,13128.2937643219
851,AUC2,San Antonio de Prado,2,3779846.91281294,16558.8795235376
849,9007,El Cerro,2,1836604.14706758,6490.35911839901
850,8003,Montañita,2,2332445.01209805,10390.9056050193
861,1020,San Diego,1,708319.25743507,4818.19650978404
862,1316,El Salado,1,438633.5900553,4139.3804661856
852,8001,La Florida,2,2819043.18425353,8571.73829331501
853,8008,San José,2,381443.040308745,3431.0385473418
854,5004,Palmitas Sector Central,2,9517077.84458133,16190.8111106264
855,6006,Boquerón,2,5584072.72279345,11140.1880330411
856,6010,El Carmelo,2,1035410.26402104,4757.25872011147
857,AE4,Área de Expansión El Noral,1,142770.750710765,2520.61916606586
858,1616,Las Violetas,1,598538.76719765,5681.70659523549
859,1423,Santa María de Los Ángeles,1,558375.60316968,3307.2473576238
860,1306,La Pradera,1,350934.26818516,3089.08240624927
826,1614,La Palma,1,334168.596434695,2477.01358321683
827,1103,Naranjal,1,446352.104869175,2931.97785469477
828,0603,Doce de Octubre No.2,1,398238.81747724,3344.42131199753
829,0104,Granizal,1,244834.686465675,2885.94979720734
830,1605,San Bernardo,1,567858.04491129,3599.96733676046
831,0912,El Salvador,1,354795.462176965,3334.64271763545
832,0407,Sevilla,1,270255.504362945,2044.09867413256
833,0304,Santa Inés,1,348299.49468915,2601.75972273744
834,0519,El Progreso,1,407603.22458145,2705.74333024017
835,1404,Castropol,1,606172.237765595,3958.25782276465
836,0508,Belalcázar,1,166521.70461015,1888.4357100251
837,1007,Guayaquil,1,318201.42036657,2553.79601478728
838,9005,El Placer,2,2041703.00438372,6436.19473372379
839,7005,Altavista Sector Central,2,2925382.18970776,12918.315132286
899,1019,La Candelaria,1,649228.65715375,3613.52793709953
900,1419,Manila,1,274138.67547539,2454.74746678721
901,0805,Batallón Girardot,1,323982.9369893,3848.67440086955
902,0813,Villatina,1,406625.431682805,5336.10670016524
903,1013,Barrio Colón,1,358187.95726553,3426.35733610408
904,Inst_10,Jardín Botánico,1,159710.692620645,1635.09861867313
905,0402,San Isidro,1,432192.245897615,2905.08504066385
906,0315,San José La Cima No.2,1,141615.01838908,1641.27646887842
907,1318,Antonio Nariño,1,393839.85467535,3595.53729554444
863,0714,Bello Horizonte,1,186845.25205997,2089.76512208675
864,1018,Villa Nueva,1,300243.060484715,2341.05522640714
865,Inst_13,Batallón Cuarta Brigada,1,88174.644044735,1233.04858632267
866,1411,Los Balsos No.1,1,1403626.02249133,5917.75966510753
867,1403,Villa Carlota,1,935204.98377979,3942.5437154761
868,0108,El Compromiso,1,71906.152910025,1175.49039453966
869,0723,Pajarito,1,290313.851767285,4232.76496596947
870,0812,La Libertad,1,312386.493349225,2851.08843888033
871,0606,San Martín de Porres,1,286864.7219759,2534.418775925
872,0502,Las Brisas,1,375236.81509667,2963.53278022107
873,0819,Villa Lilliam,1,155173.854554405,2872.47234237395
880,0702,B. Cerro El Volador,1,117617.986732115,2536.13112511356
874,0601,Santander,1,414068.61173944,3281.92522337918
875,1606,Las Playas,1,354695.53372042,2623.0370835783
876,0107,San Pablo,1,210321.431328635,2396.88050090129
877,0411,Las Esmeraldas,1,152830.72639451,1948.41247628285
878,0803,San Miguel,1,371565.744217335,2940.17600038269
879,0906,Barrio Caicedo,1,210183.18270842,2471.70887584376
881,0720,Santa Margarita,1,508746.10674395,4179.28748571456
882,1102,Suramericana,1,488003.72036601,3190.36587530985
883,0408,San Pedro,1,245843.09154905,2238.97059812101
884,0816,Villa Turbay,1,247840.166072335,2429.28314130918
885,1317,Eduardo Santos,1,236240.745966765,2845.49238488916
886,0914,Asomadera No.1,1,570343.609087855,3704.49071151458
887,0903,Bomboná No.2,1,659648.22163647,4633.85854022224
888,0103,Popular,1,446896.208867635,4313.397080062
889,0311,La Cruz,1,600546.214588905,4190.28002575363
890,0703,San Germán,1,569370.872511655,4558.09701834615
891,0611,Progreso No.2,1,115319.9516828,1646.61195655937
892,1014,Las Palmas,1,322941.482440405,3057.96988999031
893,1210,Barrio Cristóbal,1,236354.06292401,2188.17455538499
894,0509,Girardot,1,512886.075765095,3557.12126511559
895,1415,Los Balsos No.2,1,486359.757325685,2946.53419687818
896,1114,Los Colores,1,554667.72026906,3938.71871968049
897,0403,Palermo,1,219528.02488189,2724.29729274432
898,1104,San Joaquín,1,328394.41169202,2448.07016548268
930,0412,La Piñuela,1,217252.308441005,2174.10557560282
931,0710,López de  Mesa,1,199916.521262545,2326.87857902759
932,6009,Yolombo,2,4183249.21824634,9412.5624537956
934,6004,La Cuchilla,2,1990889.53896145,7534.25771207284
935,6017,El Llano,2,1174154.46303223,4716.85429334184
936,1511,La Colina,1,677858.0916575,4897.22369236496
937,1309,San Javier No.1,1,227533.177048145,2338.20044583087
938,0507,Héctor Abad Gómez,1,240129.938677105,2704.10420787783
939,0511,Castilla,1,552601.73020799,2971.13936524143
940,1117,Florida Nueva,1,249111.07047545,2134.09185896522
941,1113,Estadio,1,363921.533611075,2637.08567775624
942,1319,El Socorro,1,182432.444133965,2794.80452695841
943,0310,Versalles No.2,1,248042.933997145,2943.49601084696
944,1015,Bomboná No.1,1,207288.85878848,1990.66226335109
945,Inst_17,Centro Administrativo,1,136990.538562935,1504.13808090946
946,0303,Campo Valdés No.2,1,388808.921071395,2838.99296969298
947,1604,Granada,1,184341.42397992,1873.97903552729
948,1615,Los Alpes,1,279886.105220285,2386.51996760063
949,0705,Facultad de Minas U. Nacional,1,28465.523984285,750.585688167531
950,1208,Campo Alegre,1,342591.107289925,3301.78801101287
951,1613,Altavista,1,403435.81297896,4755.85321732261
908,1201,Ferrini,1,199967.83836327,2012.30063878115
909,6008,La Ilusión,2,3069597.07886253,9419.54707589365
910,0709,Córdoba,1,234870.39173822,2699.88911194586
911,1005,Estación Villa,1,195053.950480695,1965.18845366306
912,0503,Florencia,1,292989.103906575,2452.99183533794
913,Inst_3,Cementerio Universal,1,94191.127116955,1486.19528308812
914,0712,Aures No.2,1,647667.64563691,4419.85932502466
915,1302,Blanquizal,1,121930.13958656,2239.60420748056
916,0804,La Ladera,1,542962.03366461,4409.54480645538
917,0915,Asomadera No.2,1,657291.320583355,4250.17603218517
918,Inst_9,Parque Norte,1,284606.651101235,2210.5485802768
919,0809,Sucre,1,340196.337112535,2623.67044043928
920,6001,La Palma,2,7143696.48373826,13914.5806289281
921,8005,El Astillero,2,14311116.8682531,19797.7839574468
922,8002,Potrerito,2,4283351.7997132,13411.5268447128
923,AE1,Área de Expansión Pajarito,2,2369952.71495149,9807.01086186273
924,AE7,Área de Expansión San Antonio de Prado,2,867148.094503065,7322.19098091577
925,6014,La Loma,2,6576280.09980172,17180.357260203
926,8004,Yarumalito,2,17670965.7927324,28170.9818714546
927,9011,Mazo,2,5012250.62905938,11003.4194929889
928,7003,El Corazón El Morro,2,7359941.07335546,16644.2423210037
929,0301,La Salle,1,367713.828942035,3437.29208207682
933,6011,El Picacho,2,1804060.76403118,7777.75303751347
952,5002,La Sucia,2,2622572.57163864,10314.5878081581
953,5007,La Aldea,2,1967893.5107271,6192.28648236722
954,5006,La Frisola,2,8813367.00175788,19238.9285818177
955,5005,Volcana Guayabal,2,10893428.0514706,21451.1047753773
956,5001,La Suiza,2,13161602.6938544,21687.4013859619
957,6007,San José de La Montaña,2,3829326.89065533,9239.16774085039
958,6005,Naranjal,2,1971796.97463222,7216.85530182702
959,9003,Piedras Blancas - Matasano,2,22235867.9445673,34085.1120124301
960,6012,Pajarito,2,1029468.12116003,7084.73832646755
961,6003,El Uvito,2,1743172.41156106,7387.36168210664
962,6016,Travesías,2,1533561.71253483,6351.05273148829
963,6013,Pedregal Alto,2,3070980.78190231,9797.45161606975
964,6002,El Patio,2,3063874.79106432,10541.9651899468
965,6015,Las Playas,2,1354306.03362755,6725.69209515021
966,AE2,Área de Expansión San Cristóbal,2,721793.729492545,5067.98995054964
967,AE3,Eduardo Santos,2,50997.863879805,1867.1228662753
968,AE5,Área de Expansión Altavista,2,187810.66141098,2796.3452013687
969,AE6,Área de Expansión Belén Rincón,2,332744.03974428,4196.66563044331
970,AUC1,Cabecera Urbana Corregimiento San Cristóbal,2,760605.98186738,6870.59470441695
971,7007,San José del Manzanillo,2,2072607.58295724,11999.377270052
972,1510,Guayabal,1,747197.185348065,4132.51670570833
973,9006,Santa Elena Sector Central,2,3229024.22886897,9166.07391058918
